トピック,#,役割,ターゲットKW,検索Vol,KD,CPC($),現在順位,ABGランク,GSCクリック(3M),GSC表示(3M),GSC CTR,優先度,施策タイプ,既存URL,リライト基準ルール,見込み増加/月,備考（リライト方針エグゼクティブサマリー）
T6: ファクタリング 個人事業主 比較,42,クラスター,ファクタリング おすすめ,4200,2,$8.00,圏外,G,-,-,-,高,新規作成,-,【新規】Vol4200/KD2/比較記事の汎用版,+200~350,"ファクタリング会社おすすめランキング。個人・法人問わず網羅的に比較。T6ピラーとの差別化は対象者の広さ。"
T6: ファクタリング 個人事業主 比較,43,クラスター,ファクタリング 大手,1500,1,-,57位,G,-,-,-,中,新規作成,-,【新規】Vol1500/KD1/57位,+75~150,"大手ファクタリング会社の特徴比較。知名度・資本金・実績で整理。"
T6: ファクタリング 個人事業主 比較,44,クラスター,ファクタリング 乗り換え,500,1,$6.54,35位,G,-,-,-,中,リライト,https://paytner.co.jp/paytter/factoring/11892/,【G】35位→乗り換え判断基準を具体化,+25~35,"乗り換えのメリット（手数料改善・入金速度UP）と手順を解説。ペイトナーへの乗り換え事例。"
T6: ファクタリング 個人事業主 比較,45,クラスター,ファクタリング 手数料 安い,400,0,$9.53,10位,A,-,-,-,中,リライト,https://paytner.co.jp/paytter/factoring/12019/,【A】10位→3位以内に強化,+20~40,"手数料が安いファクタリング会社TOP5。手数料の仕組みと安さの理由を解説。"
T6: ファクタリング 個人事業主 比較,46,クラスター,ファクタリング 他社利用中,200,0,$8.00,圏外,G,-,-,-,中,新規作成,-,【新規】Vol200/KD0/乗り換え検討ユーザー,+20~40,"他社利用中でも使えるファクタリング会社一覧。二重利用の可否・注意点を解説。"
T6: ファクタリング 個人事業主 比較,47,クラスター,ファクタリング 評判,150,2,$7.00,圏外,G,-,-,-,低,新規作成,-,【新規】Vol150/比較検討層,+10~20,"主要ファクタリング会社の評判・口コミまとめ。会社別の特徴と向いている人。"
T6: ファクタリング 個人事業主 比較,48,クラスター,ファクタリング 選び方,100,0,$3.50,圏外,G,-,-,-,低,新規作成,-,【新規】Vol100/KD0/初心者向け,+10~20,"失敗しないファクタリング会社の選び方5つのポイント。"
T6: ファクタリング 個人事業主 比較,49,クラスター,ファクタリング 注意点,70,1,$6.00,圏外,G,-,-,-,低,新規作成,-,【新規】Vol70/リスク回避系,+5~10,"ファクタリング利用時の注意点・トラブル事例と防止策。"
T6: ファクタリング 個人事業主 比較,50,クラスター,ファクタリング 個人事業主 おすすめ,100,1,$12.00,圏外,G,-,-,-,-,吸収,-,T6ピラーで吸収,-,"ピラー記事でカバー。"
T7: 振込代行 個人事業主,51,ピラー,振込代行 個人事業主,-,1,$1.70,圏外,G,-,-,-,中,新規作成,-,【新規】ニッチだがサービス訴求/競合少,+10~20,"「個人事業主向け振込代行サービスとは？」を主題に新規作成。ペイトナーの振込代行機能を訴求。"
T7: 振込代行 個人事業主,52,クラスター,振込代行サービス,150,1,$3.00,圏外,G,-,-,-,中,新規作成,-,【新規】Vol150/KD1,+15~30,"振込代行サービスの仕組み・メリット・費用相場を解説。主要サービス比較表。"
T7: 振込代行 個人事業主,53,クラスター,振込代行サービス 比較,50,0,$2.50,圏外,G,-,-,-,低,新規作成,-,【新規】Vol50/KD0/比較記事,+5~10,"振込代行サービスおすすめ比較。手数料・対応銀行・APIの有無で比較。"
T7: 振込代行 個人事業主,54,クラスター,振込代行 違法,30,-,-,圏外,G,-,-,-,低,新規作成,-,【新規】ネガティブKW対策,+3~5,"振込代行は違法？法的根拠と安全な利用方法を解説。"
T7: 振込代行 個人事業主,55,クラスター,振込代行とは,100,-,-,圏外,G,-,-,-,-,吸収,-,T7ピラーで吸収,-,"ピラー冒頭セクションで吸収。"
T8: 振込代行 安い,56,ピラー,振込代行 安い / 手数料比較,-,-,-,圏外,G,-,-,-,中,新規作成,-,【新規】T7と統合運用推奨/手数料比較切り口,+5~10,"「振込代行の手数料を比較｜安いサービスはどれ？」主題。T7ピラーとは切り口を変え手数料特化。"
T8: 振込代行 安い,57,クラスター,銀行振込決済 代行会社,50,-,-,圏外,G,-,-,-,低,吸収,-,T8ピラーで吸収,-,"手数料比較記事内で網羅。"
T8: 振込代行 安い,58,クラスター,銀行振込 決済代行,40,1,$2.00,圏外,G,-,-,-,低,吸収,-,T8ピラーで吸収,-,"手数料比較記事内で網羅。"
T9: 請求書払い 代行,59,ピラー,請求書払い 代行,10,-,-,圏外,G,-,-,-,中,新規作成,-,【新規】親KW「請求代行」1900/サービス訴求,+15~30,"「請求書払い代行とは？サービス比較と選び方」を新規作成。ペイトナーの請求書関連サービスを訴求。"
T9: 請求書払い 代行,60,クラスター,請求書 代行,300,2,$7.00,圏外,G,-,-,-,中,新規作成,-,【新規】Vol300/KD2/TP1000,+30~60,"請求書代行サービスの仕組み・メリット・費用を解説。"
T9: 請求書払い 代行,61,クラスター,請求書 郵送代行,60,0,$6.00,圏外,G,-,-,-,低,新規作成,-,【新規】Vol60/KD0/ニッチ,+5~10,"請求書の郵送代行サービス比較。電子化との比較。"
T9: 請求書払い 代行,62,クラスター,請求書発行代行,30,0,$4.50,圏外,G,-,-,-,低,新規作成,-,【新規】Vol30/KD0,+3~5,"請求書発行代行サービスの選び方と料金相場。"
T9: 請求書払い 代行,63,クラスター,請求書支払い代行サービス,30,0,$3.50,圏外,G,-,-,-,-,吸収,-,T9ピラーで吸収,-,"ピラー記事で網羅。"
T9: 請求書払い 代行,64,クラスター,請求書代行サービス,60,0,$3.00,圏外,G,-,-,-,-,吸収,-,請求書代行記事で吸収,-,"請求書代行記事内で網羅。"
T9: 請求書払い 代行,65,クラスター,請求代行サービス,300,2,$6.00,圏外,G,-,-,-,-,吸収,-,請求書代行記事で吸収,-,"請求書代行記事と統合。"
潜在KW: 資金繰り・資金調達,66,ピラー,資金繰り 改善,1200,0,$1.80,圏外,G,-,-,-,高,新規作成,-,【新規-潜在】Vol1200/KD0/ファネル上流,+60~120,"「個人事業主・フリーランスの資金繰り改善方法7選」を新規作成。資金繰り表の作り方→改善策としてファクタリング紹介→ペイトナーCTA。"
潜在KW: 資金繰り・資金調達,67,クラスター,売掛金 回収,1300,0,$2.50,圏外,G,-,-,-,高,新規作成,-,【新規-潜在】Vol1300/KD0/ファクタリング認知前ユーザー,+65~130,"「売掛金の回収を早める方法」を主題に新規作成。回収遅延リスク→早期回収手段としてファクタリング紹介。"
潜在KW: 資金繰り・資金調達,68,クラスター,個人事業主 資金調達,700,1,$2.50,65位,G,-,-,-,高,新規作成,-,【新規-潜在】Vol700/KD1/TP4600/65位→専用記事,+35~70,"「個人事業主の資金調達方法まとめ」。融資・助成金・ファクタリング・クラウドファンディングを比較。TP4600と高い。"
潜在KW: 資金繰り・資金調達,69,クラスター,売掛金 ファクタリング,150,6,$6.00,圏外,G,-,-,-,中,新規作成,-,【新規-潜在】Vol150/TP8100/ファクタリング理解層,+15~30,"「売掛金をファクタリングで現金化する方法」。売掛金の基礎知識→ファクタリングの仕組み→利用フロー。"
潜在KW: 資金繰り・資金調達,70,クラスター,売掛金 現金化,100,0,$8.00,圏外,G,-,-,-,中,新規作成,-,【新規-潜在】Vol100/KD0/CPC$8,+10~20,"T3「請求書現金化」と関連。売掛金を現金に変える合法的な方法。"
潜在KW: 資金繰り・資金調達,71,クラスター,売掛金 担保,90,-,$2.50,圏外,G,-,-,-,低,新規作成,-,【新規-潜在】Vol90/ABL(動産担保)解説,+5~10,"売掛金担保融資vsファクタリングの比較。それぞれのメリデメ。"
潜在KW: 資金繰り・資金調達,72,クラスター,個人事業主 運転資金,80,4,$1.80,圏外,G,-,-,-,低,新規作成,-,【新規-潜在】Vol80/KD4,+5~10,"運転資金の調達方法。銀行融資が通らない場合のファクタリング活用。"
潜在KW: 資金繰り・資金調達,73,クラスター,フリーランス 資金繰り,80,-,$2.50,圏外,G,-,-,-,中,新規作成,-,【新規-潜在】指定潜在KW/フリーランス特化,+5~10,"フリーランス特有の資金繰り課題（入金サイクル・季節変動）と対策。ファクタリングの活用事例。"
潜在KW: 資金繰り・資金調達,74,クラスター,個人事業主 キャッシュフロー,70,-,$0.45,圏外,G,-,-,-,低,新規作成,-,【新規-潜在】Vol70/キャッシュフロー管理系,+5~10,"キャッシュフロー改善の実践ガイド。請求書の支払いサイト交渉・ファクタリング活用。"
潜在KW: 資金繰り・資金調達,75,クラスター,運転資金 調達,50,0,$1.70,圏外,G,-,-,-,低,新規作成,-,【新規-潜在】Vol50/KD0,+3~5,"運転資金の調達方法一覧。融資・ファクタリング・助成金の比較。"
潜在KW: 資金繰り・資金調達,76,クラスター,資金ショート 対策,40,0,$1.10,圏外,G,-,-,-,中,新規作成,-,【新規-潜在】Vol40/KD0/TP600/緊急性高い,+5~10,"資金ショート直前の緊急対策。即日資金調達としてのファクタリング。高CVR記事。"
潜在KW: 資金繰り・資金調達,77,クラスター,個人事業主 融資 審査通らない,-,-,-,圏外,G,-,-,-,中,新規作成,-,【新規-潜在】GSCロングテール狙い/高CVR,+3~5,"銀行融資に断られた個人事業主向け。融資以外の資金調達（ファクタリング・助成金）を紹介。"
潜在KW: 資金繰り・資金調達,78,クラスター,つなぎ資金 個人,-,-,-,圏外,G,-,-,-,低,新規作成,-,【新規-潜在】指定潜在KW/ニッチだが高CVR,+2~5,"つなぎ資金の調達方法。入金待ちの間の資金繰りとしてファクタリング活用。"
潜在KW: 資金繰り・資金調達,79,クラスター,売掛金 回収 早期,-,-,-,圏外,G,-,-,-,低,吸収,-,「売掛金 回収」記事で吸収,-,"売掛金回収記事の「早期回収」セクションで網羅。"
潜在KW: 資金繰り・資金調達,80,クラスター,WEBデザイナー 資金繰り,-,-,-,圏外,G,-,-,-,低,新規作成,-,【新規-潜在】指定業種KW/GSCロングテール狙い,+2~5,"WEBデザイナー・クリエイター向け資金繰りガイド。案件の入金サイクル（納品→検収→請求→入金60日）の課題とファクタリング活用事例。他業種（ライター・エンジニア・動画編集者）も併記。"
