タスクの内容,カテゴリー,サブアイテム,ステータス,優先度,対応メンバー,日付,親アイテム
"ポップアップ,追従CTAのABテスト",4.CV施策,"ポップアップ・追従バナーの開発要件を決める (%E3%83%9D%E3%83%83%E3%83%97%E3%82%A2%E3%83%83%E3%83%97%E3%83%BB%E8%BF%BD%E5%BE%93%E3%83%90%E3%83%8A%E3%83%BC%E3%81%AE%E9%96%8B%E7%99%BA%E8%A6%81%E4%BB%B6%E3%82%92%E6%B1%BA%E3%82%81%E3%82%8B%2030c02386e44480e7ac6ee68af69da530.md), クリエイティブのTDをすり合わせる (%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E3%81%AETD%E3%82%92%E3%81%99%E3%82%8A%E5%90%88%E3%82%8F%E3%81%9B%E3%82%8B%2030c02386e444807dab53dd47362e36df.md), クリエイティブ制作 (%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E5%88%B6%E4%BD%9C%2030c02386e4448066b863c78533201113.md), 実装対応 (%E5%AE%9F%E8%A3%85%E5%AF%BE%E5%BF%9C%2030c02386e44480b98937ca683b664372.md)",ToDo,中,野中力斗,2026年4月17日 → 2026年5月8日,
制作・リライトするkwの優先度を整理する,1.コンテンツ施策,,ToDo,中,野中力斗,2026年3月5日 → 2026年3月6日,
3月分の記事の構成案を作成する,1.コンテンツ施策,,ToDo,中,"ライター, 野中力斗",2026年3月7日 → 2026年3月10日,3月分の記事制作・リライト (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%2030c02386e4448071bfacf009470dbeb6.md)
3月分の構成案を確認いただく,1.コンテンツ施策,,ToDo,中,古山さん,2026年3月11日 → 2026年3月13日,3月分の記事制作・リライト (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%2030c02386e4448071bfacf009470dbeb6.md)
3月分の構成案の修正を行う,1.コンテンツ施策,,ToDo,中,"ライター, 野中力斗",2026年3月14日 → 2026年3月16日,3月分の記事制作・リライト (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%2030c02386e4448071bfacf009470dbeb6.md)
3月分の記事の制作を進める,1.コンテンツ施策,,ToDo,中,"ライター, 野中力斗",2026年3月14日 → 2026年3月18日,3月分の記事制作・リライト (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%2030c02386e4448071bfacf009470dbeb6.md)
3月分の記事の検収を依頼する,1.コンテンツ施策,,ToDo,中,古山さん,2026年3月18日 → 2026年3月20日,3月分の記事制作・リライト (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%2030c02386e4448071bfacf009470dbeb6.md)
3月分の記事の修正を対応,1.コンテンツ施策,,ToDo,中,"ライター, 野中力斗",2026年3月21日 → 2026年3月23日,3月分の記事制作・リライト (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%2030c02386e4448071bfacf009470dbeb6.md)
3月分の記事の入稿対応と、入稿フローに沿って最終確認を依頼するまで対応する,1.コンテンツ施策,,ToDo,中,"ライター, 野中力斗",2026年3月23日 → 2026年3月26日,3月分の記事制作・リライト (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%2030c02386e4448071bfacf009470dbeb6.md)
3月分の記事公開,1.コンテンツ施策,,ToDo,中,"古山さん, 野中力斗",2026年3月26日 → 2026年3月29日,3月分の記事制作・リライト (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%2030c02386e4448071bfacf009470dbeb6.md)
独自性のある情報を持っているかの確認,6.EEAT・YMYL施策,,ToDo,低,古山さん,2026年5月4日 → 2026年5月7日,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
独自性のある情報を基に記事コンテンツを制作-骨子,6.EEAT・YMYL施策,,ToDo,低,"ライター, 野中力斗",2026年5月7日 → 2026年5月12日,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
数値計測のルールを決める,4.CV施策,,ToDo,高,野中力斗,2026年3月16日 → 2026年3月20日,
プラポリをはじめとしたポリシーページの確認・制作,6.EEAT・YMYL施策,,ToDo,低,野中力斗,2026年5月7日 → 2026年5月8日,
独自性のある情報を基に記事コンテンツを制作-骨子を古山さんに確認いただく,6.EEAT・YMYL施策,,Archive,低,古山さん,2026年5月12日 → 2026年5月14日,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
独自性のある情報を基に記事コンテンツを制作-骨子修正,6.EEAT・YMYL施策,,Archive,低,"ライター, 野中力斗",2026年5月18日 → 2026年5月20日,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
独自性のある情報を基に記事コンテンツを制作-本文制作,6.EEAT・YMYL施策,,Archive,低,ライター,2026年5月20日 → 2026年5月25日,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
独自性のある情報を基に記事コンテンツを制作-本文検収,6.EEAT・YMYL施策,,Archive,低,野中力斗,2026年5月25日 → 2026年5月29日,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
独自性のある情報を基に記事コンテンツを制作-本文を古山さんに確認いただく,6.EEAT・YMYL施策,,Archive,低,古山さん,2026年6月1日 → 2026年6月3日,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
独自性のある情報を基に記事コンテンツを制作-最終調整,6.EEAT・YMYL施策,,Archive,低,"ライター, 野中力斗",2026年6月3日 → 2026年6月8日,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
独自性のある情報を基に記事コンテンツを制作-公開,6.EEAT・YMYL施策,,Archive,低,"ライター, 野中力斗",2026年6月9日 → 2026年6月11日,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
独自性のあるコンテンツ制作,6.EEAT・YMYL施策,"独自性のある情報を持っているかの確認 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E6%83%85%E5%A0%B1%E3%82%92%E6%8C%81%E3%81%A3%E3%81%A6%E3%81%84%E3%82%8B%E3%81%8B%E3%81%AE%E7%A2%BA%E8%AA%8D%2030b02386e44480a7995dee3db8bb4b84.md), 独自性のある情報を基に記事コンテンツを制作-骨子 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E6%83%85%E5%A0%B1%E3%82%92%E5%9F%BA%E3%81%AB%E8%A8%98%E4%BA%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%82%92%E5%88%B6%E4%BD%9C-%E9%AA%A8%E5%AD%90%2030b02386e444807083a7ec3ff6a57f63.md), 独自性のある情報を基に記事コンテンツを制作-骨子を古山さんに確認いただく (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E6%83%85%E5%A0%B1%E3%82%92%E5%9F%BA%E3%81%AB%E8%A8%98%E4%BA%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%82%92%E5%88%B6%E4%BD%9C-%E9%AA%A8%E5%AD%90%E3%82%92%E5%8F%A4%E5%B1%B1%E3%81%95%E3%82%93%E3%81%AB%E7%A2%BA%E8%AA%8D%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%2030b02386e444807eb56ccc3407778ee5.md), 独自性のある情報を基に記事コンテンツを制作-骨子修正 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E6%83%85%E5%A0%B1%E3%82%92%E5%9F%BA%E3%81%AB%E8%A8%98%E4%BA%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%82%92%E5%88%B6%E4%BD%9C-%E9%AA%A8%E5%AD%90%E4%BF%AE%E6%AD%A3%2030b02386e444804192d8fdec1827f4aa.md), 独自性のある情報を基に記事コンテンツを制作-本文制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E6%83%85%E5%A0%B1%E3%82%92%E5%9F%BA%E3%81%AB%E8%A8%98%E4%BA%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%82%92%E5%88%B6%E4%BD%9C-%E6%9C%AC%E6%96%87%E5%88%B6%E4%BD%9C%2030b02386e444802fa193daa13cfcb40a.md), 独自性のある情報を基に記事コンテンツを制作-本文検収 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E6%83%85%E5%A0%B1%E3%82%92%E5%9F%BA%E3%81%AB%E8%A8%98%E4%BA%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%82%92%E5%88%B6%E4%BD%9C-%E6%9C%AC%E6%96%87%E6%A4%9C%E5%8F%8E%2030b02386e444809d9f80d1865edc3320.md), 独自性のある情報を基に記事コンテンツを制作-本文を古山さんに確認いただく (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E6%83%85%E5%A0%B1%E3%82%92%E5%9F%BA%E3%81%AB%E8%A8%98%E4%BA%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%82%92%E5%88%B6%E4%BD%9C-%E6%9C%AC%E6%96%87%E3%82%92%E5%8F%A4%E5%B1%B1%E3%81%95%E3%82%93%E3%81%AB%E7%A2%BA%E8%AA%8D%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%2030b02386e44480d6ba2dcc7e8b3a79e1.md), 独自性のある情報を基に記事コンテンツを制作-最終調整 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E6%83%85%E5%A0%B1%E3%82%92%E5%9F%BA%E3%81%AB%E8%A8%98%E4%BA%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%82%92%E5%88%B6%E4%BD%9C-%E6%9C%80%E7%B5%82%E8%AA%BF%E6%95%B4%2030b02386e444804b94d4ccf5a1bece8e.md), 独自性のある情報を基に記事コンテンツを制作-公開 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E6%83%85%E5%A0%B1%E3%82%92%E5%9F%BA%E3%81%AB%E8%A8%98%E4%BA%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%82%92%E5%88%B6%E4%BD%9C-%E5%85%AC%E9%96%8B%2030b02386e44480268ed0d308f3140de7.md), 無題 (%E7%84%A1%E9%A1%8C%2030c02386e44480b28facd314bc767894.md)",ToDo,,"ライター, 古山さん, 野中力斗",2026年5月4日 → 2026年6月11日,
KPIの全体感とタスクごとの数値進捗の数値感を設定する,2.ディレクション,,ToDo,高,"甲斐聖史, 野中力斗",2026年2月20日 → 2026年2月27日,
,,,Archive,,,,今後半年間のコンテンツ制作・リライトするkwを選定する (%E4%BB%8A%E5%BE%8C%E5%8D%8A%E5%B9%B4%E9%96%93%E3%81%AE%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%E3%81%99%E3%82%8Bkw%E3%82%92%E9%81%B8%E5%AE%9A%E3%81%99%E3%82%8B%2030b02386e44480bfaf1be7ca3ff76972.md)
3月分の記事制作・リライト,1.コンテンツ施策,"3月分の記事の構成案を作成する (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E3%81%AE%E6%A7%8B%E6%88%90%E6%A1%88%E3%82%92%E4%BD%9C%E6%88%90%E3%81%99%E3%82%8B%2030b02386e44480d2be04cca23f7b8423.md), 3月分の構成案を確認いただく (3%E6%9C%88%E5%88%86%E3%81%AE%E6%A7%8B%E6%88%90%E6%A1%88%E3%82%92%E7%A2%BA%E8%AA%8D%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%2030b02386e444801cb0acc984b30e9c77.md), 3月分の構成案の修正を行う (3%E6%9C%88%E5%88%86%E3%81%AE%E6%A7%8B%E6%88%90%E6%A1%88%E3%81%AE%E4%BF%AE%E6%AD%A3%E3%82%92%E8%A1%8C%E3%81%86%2030b02386e44480e89fbee7ca8bc6bc70.md), 3月分の記事の制作を進める (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E3%81%AE%E5%88%B6%E4%BD%9C%E3%82%92%E9%80%B2%E3%82%81%E3%82%8B%2030b02386e4448049b743f11c017c081f.md), 3月分の記事の検収を依頼する (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E3%81%AE%E6%A4%9C%E5%8F%8E%E3%82%92%E4%BE%9D%E9%A0%BC%E3%81%99%E3%82%8B%2030b02386e44480a6a76de7b720b06442.md), 3月分の記事の修正を対応 (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E3%81%AE%E4%BF%AE%E6%AD%A3%E3%82%92%E5%AF%BE%E5%BF%9C%2030b02386e444809eb140f7bd8f5f1113.md), 3月分の記事の入稿対応と、入稿フローに沿って最終確認を依頼するまで対応する (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E3%81%AE%E5%85%A5%E7%A8%BF%E5%AF%BE%E5%BF%9C%E3%81%A8%E3%80%81%E5%85%A5%E7%A8%BF%E3%83%95%E3%83%AD%E3%83%BC%E3%81%AB%E6%B2%BF%E3%81%A3%E3%81%A6%E6%9C%80%E7%B5%82%E7%A2%BA%E8%AA%8D%E3%82%92%E4%BE%9D%E9%A0%BC%E3%81%99%E3%82%8B%E3%81%BE%E3%81%A7%E5%AF%BE%E5%BF%9C%E3%81%99%E3%82%8B%2030b02386e444802fbcaaca19b18b1e3e.md), 3月分の記事公開 (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%85%AC%E9%96%8B%2030b02386e444808c9544c10d5e7ecf70.md), 無題 (%E7%84%A1%E9%A1%8C%2030c02386e444802385ebcf95bd5b6ddb.md)",ToDo,高,"ライター, 古山さん, 野中力斗",2026年3月7日 → 2026年3月31日,
,,,Archive,,,,3月分の記事制作・リライト (3%E6%9C%88%E5%88%86%E3%81%AE%E8%A8%98%E4%BA%8B%E5%88%B6%E4%BD%9C%E3%83%BB%E3%83%AA%E3%83%A9%E3%82%A4%E3%83%88%2030c02386e4448071bfacf009470dbeb6.md)
,,,Archive,,,,独自性のあるコンテンツ制作 (%E7%8B%AC%E8%87%AA%E6%80%A7%E3%81%AE%E3%81%82%E3%82%8B%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E5%88%B6%E4%BD%9C%2030c02386e44480faaed5d2e352102745.md)
クリエイティブ制作でTD案とクリエイティブの方向性をすり合わせる,,,ToDo,,野中力斗,2026年4月1日 → 2026年4月7日,クリエイティブ制作・TDのABテストを実施する (%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E5%88%B6%E4%BD%9C%E3%83%BBTD%E3%81%AEAB%E3%83%86%E3%82%B9%E3%83%88%E3%82%92%E5%AE%9F%E6%96%BD%E3%81%99%E3%82%8B%2030b02386e44480c7b099da17d3d370f1.md)
クリエイティブ制作,,,ToDo,,デザイナー,2026年4月7日 → 2026年4月13日,クリエイティブ制作・TDのABテストを実施する (%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E5%88%B6%E4%BD%9C%E3%83%BBTD%E3%81%AEAB%E3%83%86%E3%82%B9%E3%83%88%E3%82%92%E5%AE%9F%E6%96%BD%E3%81%99%E3%82%8B%2030b02386e44480c7b099da17d3d370f1.md)
対象記事の選定,,,ToDo,,野中力斗,2026年4月1日 → 2026年4月6日,クリエイティブ制作・TDのABテストを実施する (%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E5%88%B6%E4%BD%9C%E3%83%BBTD%E3%81%AEAB%E3%83%86%E3%82%B9%E3%83%88%E3%82%92%E5%AE%9F%E6%96%BD%E3%81%99%E3%82%8B%2030b02386e44480c7b099da17d3d370f1.md)
対象記事の設置,,,ToDo,,"ライター, 入稿者",2026年4月7日 → 2026年4月15日,クリエイティブ制作・TDのABテストを実施する (%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E5%88%B6%E4%BD%9C%E3%83%BBTD%E3%81%AEAB%E3%83%86%E3%82%B9%E3%83%88%E3%82%92%E5%AE%9F%E6%96%BD%E3%81%99%E3%82%8B%2030b02386e44480c7b099da17d3d370f1.md)
週次ごとに効果検証,,,ToDo,,野中力斗,2026年4月16日 → 2026年4月22日,クリエイティブ制作・TDのABテストを実施する (%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E5%88%B6%E4%BD%9C%E3%83%BBTD%E3%81%AEAB%E3%83%86%E3%82%B9%E3%83%88%E3%82%92%E5%AE%9F%E6%96%BD%E3%81%99%E3%82%8B%2030b02386e44480c7b099da17d3d370f1.md)
ポップアップ・追従バナーの開発要件を決める,,,ToDo,,"コーダー, 野中力斗",2026年4月17日 → 2026年4月22日,"ポップアップ,追従CTAのABテスト (%E3%83%9D%E3%83%83%E3%83%97%E3%82%A2%E3%83%83%E3%83%97,%E8%BF%BD%E5%BE%93CTA%E3%81%AEAB%E3%83%86%E3%82%B9%E3%83%88%2030b02386e44480c39c42fbb2d76d60e9.md)"
実装対応,,,ToDo,,"コーダー, 野中力斗",2026年5月6日 → 2026年5月8日,"ポップアップ,追従CTAのABテスト (%E3%83%9D%E3%83%83%E3%83%97%E3%82%A2%E3%83%83%E3%83%97,%E8%BF%BD%E5%BE%93CTA%E3%81%AEAB%E3%83%86%E3%82%B9%E3%83%88%2030b02386e44480c39c42fbb2d76d60e9.md)"
クリエイティブのTDをすり合わせる,,,ToDo,,野中力斗,2026年4月23日 → 2026年4月28日,"ポップアップ,追従CTAのABテスト (%E3%83%9D%E3%83%83%E3%83%97%E3%82%A2%E3%83%83%E3%83%97,%E8%BF%BD%E5%BE%93CTA%E3%81%AEAB%E3%83%86%E3%82%B9%E3%83%88%2030b02386e44480c39c42fbb2d76d60e9.md)"
クリエイティブ制作,,,ToDo,,デザイナー,2026年4月29日 → 2026年5月5日,"ポップアップ,追従CTAのABテスト (%E3%83%9D%E3%83%83%E3%83%97%E3%82%A2%E3%83%83%E3%83%97,%E8%BF%BD%E5%BE%93CTA%E3%81%AEAB%E3%83%86%E3%82%B9%E3%83%88%2030b02386e44480c39c42fbb2d76d60e9.md)"
