国,クリック数,表示回数,CTR,掲載順位
ネパール,1,126,0.79%,5.46
イスラエル,1,122,0.82%,14.59
エクアドル,1,120,0.83%,8.55
ペルー,1,96,1.04%,7.04
ウズベキスタン,1,82,1.22%,7.71
チュニジア,1,71,1.41%,9.08
ミャンマー（ビルマ）,1,63,1.59%,7.06
セルビア,1,59,1.69%,8.47
北マリアナ諸島,1,57,1.75%,5.86
ルクセンブルグ,1,47,2.13%,5.68
パナマ,1,46,2.17%,7.57
パラオ,1,33,3.03%,6.48
バーレーン,1,30,3.33%,10.5
グァテマラ,1,25,4%,6.4
クウェート,1,24,4.17%,10.88
フィジー,1,23,4.35%,5.3
スロバキア,1,23,4.35%,6.96
ガーナ,1,23,4.35%,7
イラン,1,20,5%,10.5
カメルーン,1,13,7.69%,7.23
モザンビーク,1,8,12.5%,4.5
ボツワナ,1,8,12.5%,4.88
パプアニューギニア,1,7,14.29%,6.86
ブルキナファソ,1,6,16.67%,5
バングラディッシュ,0,339,0%,7.26
パキスタン,0,203,0%,10.63
モロッコ,0,198,0%,9.31
アイルランド,0,173,0%,5.84
ハンガリー,0,124,0%,5.9
ウクライナ,0,112,0%,7.19
アルジェリア,0,107,0%,8.89
スリランカ,0,102,0%,6.07
イラク,0,102,0%,12.82
ケニア,0,89,0%,7.78
モンゴル,0,84,0%,7.02
ベネズエラ,0,80,0%,12.72
ヨルダン,0,70,0%,7.89
モルディブ,0,63,0%,5.67
パラグアイ,0,62,0%,8.37
カザフスタン,0,58,0%,9.98
ジャマイカ,0,54,0%,6.37
マルタ,0,50,0%,5.6
ブルガリア,0,49,0%,8.61
コスタリカ,0,48,0%,7.52
リトアニア,0,47,0%,5.64
オマーン,0,44,0%,12.48
トリニダード・トバゴ,0,41,0%,6.32
ベラルーシ,0,41,0%,8.88
ドミニカ,0,41,0%,9.56
アルバニア,0,40,0%,7.55
アイスランド,0,39,0%,5.67
アゼルバイジャン,0,34,0%,8.38
レバノン,0,33,0%,7.3
プエルトリコ,0,30,0%,5.6
キプロス,0,29,0%,6.21
ブルネイ,0,29,0%,6.38
クロアチア,0,28,0%,6.32
ウルグアイ,0,28,0%,15.57
セネガル,0,27,0%,10.74
エチオピア,0,26,0%,8.65
エストニア,0,25,0%,5.4
バハマ,0,25,0%,5.44
セイシェル,0,25,0%,6.8
アルメニア,0,23,0%,6.04
ラトビア,0,23,0%,8.04
モルドバ,0,23,0%,10.87
コートジボワール,0,21,0%,6.05
不明な地域,0,19,0%,4.53
ホンジュラス,0,19,0%,7.89
シリア,0,19,0%,12
ジブチ,0,18,0%,4.61
ボスニア・ヘルツェゴビナ,0,18,0%,6.89
キルギス,0,18,0%,8.89
ルワンダ,0,17,0%,5.65
パレスチナ,0,17,0%,8.71
スロベニア,0,16,0%,6.31
ウガンダ,0,15,0%,8.13
マケドニア,0,15,0%,8.67
ニカラグア,0,15,0%,11.27
バルバドス,0,13,0%,10
モーリシャス,0,13,0%,10
ベリーズ,0,12,0%,5.25
マン島,0,12,0%,6.17
マダガスカル,0,11,0%,5.18
ザンビア,0,11,0%,6.55
エルサルバドル,0,8,0%,7.25
アンゴラ,0,8,0%,13.5
サモア,0,7,0%,2.57
モンテネグロ,0,7,0%,6
モーリタニア,0,7,0%,7.14
ガイアナ,0,7,0%,13.57
ナミビア,0,6,0%,3.33
マラウイ,0,6,0%,7.17
アンドラ,0,5,0%,2.2
セントルシア,0,5,0%,3
コソボ,0,5,0%,5.2
キュラソー,0,5,0%,5.4
タジキスタン,0,5,0%,7.6
コンゴ民主共和国 - キンシャサ,0,5,0%,14.4
バヌアツ,0,4,0%,2
キューバ,0,4,0%,4.5
スリナム,0,4,0%,5
ブータン,0,4,0%,7.5
東チモール,0,4,0%,7.5
南スーダン,0,4,0%,8
シント・マールテン,0,4,0%,8.25
フランス領ポリネシア,0,4,0%,10
リビア,0,4,0%,14.5
トーゴ,0,4,0%,17.75
アルバ,0,3,0%,3.67
ベニン,0,3,0%,4.67
ガボン,0,3,0%,5
シェラレオネ,0,3,0%,5.67
セントクリストファー・ネイビス,0,3,0%,7.67
アフガニスタン,0,3,0%,9
イエメン,0,3,0%,21.67
ドミニカ,0,2,0%,3
トンガ,0,2,0%,4.5
リヒテンシュタイン,0,2,0%,5
グレナダ,0,2,0%,5.5
ニューカレドニア,0,2,0%,5.5
ミクロネシア,0,2,0%,6
ソマリア,0,2,0%,7.5
英領バージン諸島,0,2,0%,7.5
ジブラルタル,0,2,0%,8.5
アンティグア・バーブーダ,0,2,0%,9
モナコ,0,2,0%,9
ジャージー,0,2,0%,9.5
ギニアビサウ,0,2,0%,10
ソロモン諸島,0,2,0%,10
スーダン,0,2,0%,15
ギニア,0,1,0%,1
スバールバル諸島とヤンマイエン島,0,1,0%,1
バミューダ,0,1,0%,3
北朝鮮,0,1,0%,4
蘭領カリブ,0,1,0%,6
ハイチ,0,1,0%,6
カボベルデ,0,1,0%,7
コンゴ共和国 - ブラザビル,0,1,0%,8
ケイマン諸島,0,1,0%,8
南極大陸,0,1,0%,10
コモロ,0,1,0%,11
ブルンジ,0,1,0%,16
マリ,0,1,0%,50
西サハラ,0,1,0%,79
